Субъект,Федеральный Округ,26.03,27.03,28.03,29.03,30.03,31.03,01.04,02.04,03.04,04.04,05.04,06.04,07.04,08.04,09.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06
Омская Область,Сибирский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,6,9,9,9,13,14,16,16,17,19,19,19,20,20,21,22,24,26,26,27,31,39,40,46,46,54,54,58,59,68,70,74,88,88,91,104,115,120,131,192,228,228,265,288,301,313,340,349,359,386,437,566,605,664,684,689,758,968,1098,1189
Оренбургская Область,Приволжский,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,5,5,6,6,12,13,15,16,16,20,32,32,32,55,58,58,82,108,119,179,190,217,217,217,217,217,217,272,284,331,345,390,415,528,564,602,612,701,760,787,849,880,927,950,1027,1097,1139,1196,1196,1196,1196,1196,1241,1276,1587,1628,1636,1642,1704,1757,1827,1872
Орловская Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,7,7,7,10,10,10,10,10,10,10,32,32,38,59,67,82,88,111,123,135,139,193,211,244,249,257,262,294,327,362,412,426,430,524,576,654,717,804,841,845,953,999,1046,1094,1137,1152,1156,1231,1274,1363,1409,1462,1464,1474,1543,1568,1586,1655
Пензенская Область,Приволжский,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,6,6,6,6,30,56,58,58,96,116,132,148,170,175,193,199,217,246,301,350,402,440,497,548,658,736,777,788,861,944,1002,1076,1146,1239,1255,1365,1481,1581,1681,1761,1827,1855,1966,2048,2132,2260,2354,2406,2433,2531,2651,2728,2823
Пермский Край,Приволжский,0,0,0,0,0,0,0,1,3,3,3,3,5,5,5,6,15,15,15,16,16,19,19,21,27,30,30,37,43,48,52,52,61,67,87,91,95,161,166,207,218,218,282,333,385,391,401,413,467,504,540,589,589,589,600,600,619,677,706,756,792,826,892,943,1004,1042,1053,1063,1147,1221,1266,1321,1360,1370,1394,1474,1533,1634,1689
Приморский Край,Дальневосточный,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,7,11,13,23,32,33,33,33,33,33,59,61,66,73,105,112,130,150,181,193,213,240,268,307,340,389,399,410,459,487,514,551,584,610,617,706,798,885,945,1047,1075,1078,1160,1223,1290,1356,1402,1444,1464,1529,1614,1614,1634
Псковская Область,Северо-Западный,0,0,0,0,0,0,0,0,0,2,3,3,3,3,5,5,6,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,13,14,14,17,17,19,19,19,24,35,41,51,59,66,67,67,96,102,112,132,132,132,142,161,172,183,201,201,208,238,268,293,306,332,340,340,359,368,403,420,437,437,440,454,475,486,506
Ростовская Область,Южный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,8,8,10,12,13,13,13,15,18,18,18,37,40,89,89,89,98,101,112,123,147,168,195,262,338,388,407,455,506,578,629,719,797,809,874,989,1071,1111,1200,1251,1281,1354,1441,1529,1590,1672,1717,1742,1834,1950,2049,2157,2245,2310,2343,2469,2550,2702,2831
Рязанская Область,Центральный,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,9,9,9,9,15,32,32,38,47,47,47,47,47,64,64,86,88,89,89,106,153,198,215,224,239,294,317,352,393,396,398,422,452,481,504,548,566,638,702,789,848,894,945,956,973,1075,1169,1229,1330,1433,1448,1458,1611,1747,1875,2007
Самарская Область,Приволжский,0,0,1,1,1,1,2,2,7,7,8,9,9,9,10,11,14,14,14,14,14,14,14,15,15,15,15,15,15,19,22,26,26,27,33,36,52,53,58,59,64,72,75,82,102,126,135,148,174,194,233,275,295,322,365,419,485,539,578,636,642,669,761,829,892,948,1025,1060,1072,1138,1212,1282,1348,1425,1449,1485,1570,1651,1741
Санкт-Петербург,Северо-Западный,7,5,5,5,5,7,7,7,7,7,7,32,32,32,43,43,74,74,78,78,95,110,131,232,239,241,280,327,368,411,460,489,489,544,708,779,779,877,1061,1197,1468,1532,1552,1597,1662,1674,1681,1784,1848,1899,2005,2109,2175,2209,2272,2480,2661,2859,3124,3452,3590,3744,4458,4783,5113,5373,5680,5748,6008,6331,6695,7076,7462,7759,7915,8101,8521,8864,9276
Саратовская Область,Приволжский,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,4,6,8,8,13,13,13,13,13,19,19,30,34,38,39,39,49,49,52,73,95,99,106,133,135,157,196,233,237,242,244,277,321,359,386,421,438,486,568,639,699,761,785,812,861,942,1033,1118,1153,1158,1206,1288,1361,1404,1462,1547,1573,1596,1699,1811,1980
Республика Саха (Якутия),Дальневосточный,0,0,0,0,0,0,1,4,4,4,4,4,7,7,8,10,13,13,13,13,15,15,15,16,16,16,16,16,17,17,18,18,18,18,25,27,29,35,39,43,44,46,66,66,83,106,120,139,189,211,246,278,313,320,355,372,449,496,541,577,587,633,658,704,770,824,857,903,943,1015,1071,1177,1242,1311,1343,1428,1560,1634,1751
Сахалинская Область,Дальневосточный,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,13,13,15,17,19,19,19,19,19,19,20,20,20,20,20,20,20,20,22,25,27,28,28,29,29,29,33,35,36,36,37,47,47,49,53,53,53,53,54,62,62,63,63,71,71,71,71,71,71
Свердловская Область,Уральский,0,0,0,1,1,1,1,8,8,13,13,13,22,25,25,25,32,35,35,37,37,44,47,49,49,52,55,60,65,71,82,87,88,88,96,102,102,120,126,127,156,193,212,237,269,270,283,382,427,501,546,601,610,630,817,890,976,1063,1207,1226,1270,1499,1700,1827,1997,2142,2173,2337,2510,2680,2827,2997,3166,3239,3273,3495,3642,3790,3912
Севастополь,Южный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,6,6,7,7,9,9,9,10,10,11,15,15,16,18,21,24,24,28,35,56,65,74,75,75,83,101,105,105,113,114,116,119,121,124,125,129,131,134,136,139,141,145,145,145,145,150,150,151,151
Смоленская Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,15,15,15,26,26,26,26,27,69,81,81,87,91,91,94,254,254,264,266,287,302,326,348,366,370,395,410,464,519,65,563,567,581,621,662,705,733,772,773,821,880,940,978,1085,1101,1105,1240,1321,1362,1394
Республика Северная Осетия — Алания,Северо-Кавказский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,5,7,8,8,8,18,18,35,35,57,57,72,72,84,86,86,86,158,158,241,262,296,296,296,305,386,797,903,1018,1041,1050,1105,1164,1205,1371,1416,1498,1499,1570,1625,1660,1758,1918,1952,1968,2070,2231,2536,2702,3033,3066,3100,3121,3142,3165,3186
Ставропольский Край,Северо-Кавказский,0,0,0,0,0,0,0,1,1,1,2,2,2,5,6,6,9,10,10,10,11,11,19,24,26,26,27,37,38,44,50,58,73,73,81,81,101,116,135,164,188,200,224,249,279,289,301,325,380,408,462,486,526,526,562,598,638,690,711,718,750,812,871,920,991,1042,1067,1102,1174,1265,1318,1409,1446,1470,1471,1538,1650,1739,1846
